FOOD PRODUCT,Energy Value(kcal),Protein(g),Carbohydrate(g),Total Sugars(g),Added Sugars(g),Total Fat(g),Saturated Fat(g),Trans Fat(g),Cholesterol(mg),Sodium(mg)
Britannia 50-50 Biscuits,487,7,72,19.5,18.5,19,9,0,0,466
Parle Monaco Biscuits,492,7.9,68.8,8.4,7.8,20.6,9.7,0,0,891
Parle-G Biscuits,454,6.9,77.3,25.5,25,13,6,0,0,296
Britannia Bourbon Biscuits,493,5.1,72.6,38,35.1,20.3,10,0,0,108
Britannia Marie GOLD,445,8.4,78.9,21.9,20,10.7,5.2,0,0,0
Britannia Nutri Choice,485,8.6,68.4,14.4,12.7,21,10.2,0,0,463
Britannia Milk Bikis,454,7,75,27,25,14,6,0,0,302
Britannia Good Day ,508,6.6,67.7,21.9,20.8,23.4,11.5,0,3.2,231
Priya Rice Bran OIL,900,0,0,0,0,100,23,2,0,0
Fortune SUNLITE OIL,900,0,0,0,0,100,17,2,0,0
Freedom Refined OIL,900,0,0,0,0,99.99,Less than15%,Less than 1%,0,0
OREO Biscuits,483,5.2,71.9,38.8,38.7,19.6,9.7,0.1,0,420
Ruchi GOLD OIL,900,0,0,0,0,100,Not more than 45.45,0,0,0
Yippee Noodles,459,9,62.6,3,1.6,20.1,10.7,0.1,0,1247.1
Maggi Noodles,389,8.2,59.6,1.8,1.1,13.5,8.2,0.13,0,1028.3
Aashirvaad ATTA,338,10.7,76,3.6,0,1.3,0.3,0,0,1.5
Sunfeast MOM'S MAGIC,507,7.5,64.9,23.7,22,24.2,11.3,0.12,2.4,189.4
PERK Chocolate,517,3.9,68.3,44.6,0,25.1,22.6,0.2,0,93
KOPIKO Chocolate,451,0.8,85.8,65.8,80.3,11.6,5.8,0,0,160
MANGO BITE Chocolate,391,0,97.8,80.6,0,0,0,0,0,0
Annapurna ATTA,336,10.6,75.5,1.8,0,1.5,0.2,0,0,2
Melody Chcocolate,428,2.9,75.3,53.8,43.2,12.8,6.6,0,0,241
BRITANNIA RUSK,433,9,80.7,23,21.7,8.3,3.9,0,0,222
GRB GHEE,897,0,0,0,0,99.7,62,1.5,200,0
BINGO Potato Chips,531,7.1,50.5,1.5,0.8,33.4,14.2,0.1,0,824.6
LAYS TOMATO,530,6.4,53.8,5.6,4.5,32.2,12.2,0.1,0,636
KURKURE TOMATO,558,5.6,56,3.8,3.4,34.6,15.6,0.1,0,672
KURKURE GREEN CHUTNEY,561,5.9,56.3,2.1,1.8,34.7,15.6,0.1,0,959
HALDIRAM SOYA STICKS,554,7.46,45,4.21,0,38.21,18.56,0,0,629
HALDIRAM MOONG DAL,476,21.31,50.66,0,0,20.93,5.64,0,0,390
HALDIRAM ALOO BHUJIA,562,8.68,46.1,0.25,0,38.12,16.5,0,0,615
HALDIRAM MIXTURE,534,15.81,45.11,0.82,0.82,0,13.2,0,0,675
CHOCOS,387,9,83.6,30,0,2.9,1.2,0,0,330
BINGO MAD ANGLES,533,5.8,57.4,6,5.2,31.8,14.3,0.1,0,765.4
Priya Gongura Pickle,267,2.8,15.7,3.6,0,21.4,4,0,0,4661
Priya Tomato Pickle,223,3,14.6,4.8,0,17,3.3,0,0,5969
Visakha Dairy Ganga Milk,61.4,3.6,5,5,0,3,1.8,0.15,45,51
Saffola Oats,345,12.6,66.8,0.5,0,5.3,1.6,0,0,5
KELLOGG'S CORN FLAKES,378,6.7,86.9,9.2,8,1,0.6,0,0,490
Saffola Masala Oats,377,10.9,71.4,7.1,5.3,8.1,1.6,0.1,0,2087
Daawat Basmati Rice,350,8.8,78,0,0,0.47,0.1,0,0,1.7
Maaza Mango Drink,63,0,15.8,14.9,13.3,0,0,0,0,21.9
Real Fruit Apple Juice,57,0,14.2,14.2,12,0,0,0,0,10
